experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,geometry,species,marker_label,regional_forest_service
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,list(),NA,NA,bEast
a소나무림_2012_동부01,a소나무림,1,2012,b약도간벌,동부01,44,5,40.8,41.3,17.2,18.5,18.5,350,592.6,0.57,47,386.2,1.33,3.15,list(),NA,NA,bEast
a소나무림_2012_동부01,a소나무림,1,2012,c강도간벌,동부01,44,5,42.4,44.2,15.3,18.7,19.9,156,282.4,0.27,23.9,198.5,1.19,1.07,list(),NA,NA,bEast
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,list(),NA,NA,bEast
a소나무림_2012_동부02,a소나무림,1,2012,b약도간벌,동부02,61,7,22.5,24.5,14.2,17.9,14.2,633,620.6,0.6,29.9,223.7,0.92,2.33,list(),NA,NA,bEast
a소나무림_2012_동부02,a소나무림,1,2012,c강도간벌,동부02,61,7,23.3,26.3,14.9,18.2,14.8,422,445.2,0.43,22.9,177,1.97,2.39,list(),NA,NA,bEast
a소나무림_2012_동부03,a소나무림,1,2012,a무간벌,동부03,48,5,26.4,26.9,14.2,17.4,16.7,300,323.7,0.31,17,125.3,0.29,0.37,list(),NA,NA,bEast
a소나무림_2012_동부03,a소나무림,1,2012,b약도간벌,동부03,48,5,29.2,29.7,15.1,17.1,16.3,383,459.2,0.44,26.6,203.4,0.78,1.53,list(),NA,NA,bEast
a소나무림_2012_동부03,a소나무림,1,2012,c강도간벌,동부03,48,5,31.2,31.6,15.2,17.4,18,211,270.1,0.26,16.6,129.1,0.74,0.8,list(),NA,NA,bEast
a소나무림_2012_동부04,a소나무림,1,2012,a무간벌,동부04,56,6,33.7,34.1,18.4,20.8,18,425,589,0.57,38.9,330.1,NA,NA,list(),NA,NA,bEast
a소나무림_2012_동부04,a소나무림,1,2012,b약도간벌,동부04,56,6,33.8,34,16.8,17.6,15.2,350,482.7,0.46,31.8,251.1,NA,NA,list(),NA,NA,bEast
a소나무림_2012_동부04,a소나무림,1,2012,c강도간벌,동부04,56,6,36.9,37,16.7,18,15.5,178,267.7,0.26,19.1,153.7,NA,NA,list(),NA,NA,bEast
a소나무림_2012_동부05,a소나무림,1,2012,a무간벌,동부05,34,4,22.5,23.1,14.5,16.4,18.9,400,368.8,0.35,16.8,125.4,1.27,1.71,list(),NA,NA,bEast
a소나무림_2012_동부05,a소나무림,1,2012,b약도간벌,동부05,34,4,21.9,22.4,12.7,15.5,17.8,350,311.4,0.3,13.7,96.3,1.84,2.33,list(),NA,NA,bEast
a소나무림_2012_동부05,a소나무림,1,2012,c강도간벌,동부05,34,4,24.5,24.9,13,15.6,18.6,256,254.7,0.24,12.5,90.4,1.9,2.04,list(),NA,NA,bEast
a소나무림_2012_동부06,a소나무림,1,2012,a무간벌,동부06,99,10,35.6,36.2,15.7,17.8,14.5,500,737.4,0.71,51.6,381.7,0.89,2.61,list(),NA,NA,bEast
a소나무림_2012_동부06,a소나무림,1,2012,b약도간벌,동부06,99,10,36.6,37,17.2,18.3,15.5,350,528.2,0.51,37.7,304,1.18,2.46,list(),NA,NA,bEast
a소나무림_2012_동부06,a소나무림,1,2012,c강도간벌,동부06,99,10,39.7,40.1,17.5,18.4,15.3,256,419.1,0.4,32.3,264,0.99,1.61,list(),NA,NA,bEast
a소나무림_2012_동부07,a소나무림,1,2012,a무간벌,동부07,87,9,26.1,26.4,14.4,16.2,13.7,750,795.2,0.76,41.2,284.9,1.6,5.21,list(),NA,NA,bEast
a소나무림_2012_동부07,a소나무림,1,2012,b약도간벌,동부07,87,9,27.5,27.9,15.2,16.9,14.5,617,691.3,0.66,37.7,282.4,1.43,4,list(),NA,NA,bEast
a소나무림_2012_동부07,a소나무림,1,2012,c강도간벌,동부07,87,9,32.9,33.2,15.5,17.5,15.1,278,374.4,0.36,24.1,189.9,1.75,2.68,list(),NA,NA,bEast
a소나무림_2012_동부08,a소나무림,1,2012,a무간벌,동부08,41,5,14.1,14.9,8.9,11.9,11.9,1925,1116.2,1.07,33.4,188.7,1.4,3.68,list(),NA,NA,bEast
a소나무림_2012_동부08,a소나무림,1,2012,b약도간벌,동부08,41,5,16.7,17.1,9.9,13.6,13,1233,830.6,0.8,28.4,184.1,1.67,4.55,list(),NA,NA,bEast
a소나무림_2012_동부08,a소나무림,1,2012,c강도간벌,동부08,41,5,19.4,20.1,10.9,14.8,14.1,700,557.3,0.54,22.2,152.2,1.42,3.35,list(),NA,NA,bEast
a소나무림_2014_북부01,a소나무림,1,2014,a무간벌,북부01,38,4,26.7,27.2,15.8,17.9,18.4,458,500.9,0.48,26.7,200.4,1.73,3.52,list(),NA,NA,aNorth
a소나무림_2014_북부01,a소나무림,1,2014,b약도간벌,북부01,38,4,25.1,25.5,14.9,16.4,18.4,466,476.3,0.46,23.8,174.5,2.22,4.34,list(),NA,NA,aNorth
a소나무림_2014_북부01,a소나무림,1,2014,c강도간벌,북부01,38,4,29.6,30.1,15.5,17.4,19.3,276,335.8,0.32,19.7,151.4,2.6,3.5,list(),NA,NA,aNorth
a소나무림_2014_북부02,a소나무림,1,2014,a무간벌,북부02,40,4,31.2,31.4,18.2,21.5,20.5,423,537.3,0.52,32.8,276.6,2.43,5.19,list(),NA,NA,aNorth
a소나무림_2014_북부02,a소나무림,1,2014,b약도간벌,북부02,40,4,33.8,34.2,16.9,17.9,19.8,399,554.5,0.53,36.7,290.7,2.35,5.23,list(),NA,NA,aNorth
a소나무림_2014_북부02,a소나무림,1,2014,c강도간벌,북부02,40,4,33,33.3,16.7,17.8,19.5,281,378.7,0.36,24.4,192.3,1.74,2.66,list(),NA,NA,aNorth
a소나무림_2014_북부03,a소나무림,1,2014,a무간벌,북부03,43,5,17.7,18.4,11.3,14.3,13.5,1386,1005,0.97,36.8,225,0.97,4.08,list(),NA,NA,aNorth
a소나무림_2014_북부03,a소나무림,1,2014,b약도간벌,북부03,43,5,25.7,26.1,15,16.7,16.9,543,567.9,0.55,29,213.5,1.48,2.14,list(),NA,NA,aNorth
a소나무림_2014_북부03,a소나무림,1,2014,c강도간벌,북부03,43,5,17.3,17.7,10.9,13.9,13.1,723,503.3,0.48,17.8,115.4,1.34,2.79,list(),NA,NA,aNorth
a소나무림_2014_북부04,a소나무림,1,2014,a무간벌,북부04,58,6,28.4,29.1,21,24,20.9,605,708.5,0.68,40.2,395.9,1.13,3.29,list(),NA,NA,aNorth
a소나무림_2014_북부04,a소나무림,1,2014,b약도간벌,북부04,58,6,26,26.6,14.6,17,17.7,431,460.6,0.44,24,178.6,1.31,2.46,list(),NA,NA,aNorth
a소나무림_2014_북부04,a소나무림,1,2014,c강도간벌,북부04,58,6,26.9,27.7,14.6,17.3,19.6,374,416.6,0.4,22.6,170.4,1.36,1.56,list(),NA,NA,aNorth
a소나무림_2014_북부05,a소나무림,1,2014,a무간벌,북부05,59,6,24.4,25.6,18.7,21.4,18.6,896,916.2,0.88,45.9,410,1.81,3.99,list(),NA,NA,aNorth
a소나무림_2014_북부05,a소나무림,1,2014,b약도간벌,북부05,59,6,25.5,26.4,13.4,16.8,16.3,485,512.2,0.49,26.4,196.9,1.44,2.98,list(),NA,NA,aNorth
a소나무림_2014_북부05,a소나무림,1,2014,c강도간벌,북부05,59,6,20.2,21.9,9.8,15.4,14.4,597,519.1,0.5,22.4,161.9,1.31,1.87,list(),NA,NA,aNorth
a소나무림_2014_북부06,a소나무림,1,2014,a무간벌,북부06,71,8,46.6,47,18.7,20.7,18,332,641.8,0.62,57.5,486.9,0.35,0.85,list(),NA,NA,aNorth
a소나무림_2014_북부06,a소나무림,1,2014,b약도간벌,북부06,71,8,42.3,43.5,17.5,18.8,18.7,358,640.6,0.62,53.4,442.1,1.02,2.46,list(),NA,NA,aNorth
a소나무림_2014_북부06,a소나무림,1,2014,c강도간벌,북부06,71,8,44.1,44.8,17.3,18.7,18.9,348,642.1,0.62,55,457.6,1.02,2.4,list(),NA,NA,aNorth
a소나무림_2014_북부07,a소나무림,1,2014,a무간벌,북부07,55,6,31.9,32.5,14.8,17.1,16.2,431,568,0.55,35.8,250.4,1.57,3.34,list(),NA,NA,aNorth
