experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,tree_species,tree_dbh,tree_height,tree_ba,tree_vol,tree_dbhgr,tree_heightgr,tree_bagr,tree_cw,tree_clear_height,tree_yheight,regional_forest_service
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,33.3,17.7,0.087,0.711,3.6,1.5,0.01984883245902036,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,23.5,15.9,0.043,0.331,0.6,0.2,0.002243203826375925,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,22.7,15.9,0.04,0.31,1.3,0.1,0.004768258038292894,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,21.6,17.8,0.037,0.314,0.5,3.2,0.0017161846885286533,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,52.3,21.9,0.215,2.123,0.7,0.8,0.005789685764059416,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,40,19.9,0.126,1.139,0.8,0.9,0.005077119456408263,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,23.3,17.1,0.043,0.348,1.9,0.6,0.007237560707315932,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,45.9,18.9,0.165,1.419,0.7,1.3,0.005085851937262215,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,12.7,13.3,0.013,0.098,0.2,0.3,4.021544225625579e-4,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,16,14.4,0.02,0.152,0.6,1.3,0.0015362894170253306,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,18.7,16.8,0.027,0.229,0.7,2.2,0.0020947260241546313,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,21.8,16.7,0.037,0.301,0.9,1.3,0.003145614282699667,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,11.5,11.4,0.01,0.076,0.1,1.1,1.8145168906874565e-4,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,13,13,0.013,0.1,0.3,0.7,6.197116385831258e-4,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,36.1,17.6,0.102,0.827,0.9,0.4,0.005167385947881145,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,8.7,11.5,0.006,0.053,0.2,0.4,2.7647470124471645e-4,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,28.6,17.8,0.064,0.533,0.7,0.4,0.0031833764267423237,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,30.8,15.5,0.075,0.538,0.8,3.4,0.003920891027464471,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,45.4,21,0.162,1.54,0.4,0.3,0.0028655177531715648,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,31.5,20,0.078,0.719,0.1,1,4.95769636888202e-4,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,23.5,18.2,0.043,0.375,0.8,1.5,0.003003471026375916,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,32.2,17.3,0.081,0.652,1.2,0.8,0.0061828592262989646,NA,NA,NA,b.동부청
a소나무림_2012_동부01,a소나무림,1,2012,a무간벌,동부01,44,5,25.8,28.5,16.5,21.4,20.5,750,858.9,0.82,47.7,420.2,0.7,2.32,a.Pd,33.3,17.1,0.087,0.688,0.4,0.4,0.0021050756590203917,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,41.2,18.2,0.133,1.106,1.7,1.6,0.01122917555226352,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,34.2,18.3,0.092,0.773,4.1,1.8,0.023346229816380848,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,37.7,15.3,0.112,0.788,2.1,0.9,0.01278264603448405,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,31.9,15.2,0.08,0.565,2.2,1.1,0.01140419489451229,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,28.8,15.9,0.065,0.485,1.6,1.3,0.007439461135162043,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,35,15.4,0.096,0.684,1.6,3.6,0.00899776738381261,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,31.7,14.5,0.079,0.534,1.1,4.1,0.00557259755835382,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,24.6,16,0.048,0.362,1,1.8,0.003942819143840023,NA,NA,NA,b.동부청
a소나무림_2012_동부02,a소나무림,1,2012,a무간벌,동부02,61,7,32.3,32.6,15.6,18.1,16,300,396.6,0.38,25.1,187.9,2.03,3.26,a.Pd,28.9,13.9,0.066,0.43,2.5,2.8,0.011840058394881725,NA,NA,NA,b.동부청
a소나무림_2012_동부03,a소나무림,1,2012,a무간벌,동부03,48,5,26.4,26.9,14.2,17.4,16.7,300,323.7,0.31,17,125.3,0.29,0.37,a.Pd,27,15.3,0.057,0.414,0.5,0.1,0.002140348888326024,NA,NA,NA,b.동부청
a소나무림_2012_동부03,a소나무림,1,2012,a무간벌,동부03,48,5,26.4,26.9,14.2,17.4,16.7,300,323.7,0.31,17,125.3,0.29,0.37,a.Pd,19.3,14.2,0.029,0.208,0.6,1.7,0.0018473292116084443,NA,NA,NA,b.동부청
